303.41,16.37,13.32,-509,-2132,2195,0
313.58,17.84,13.56,2,-1774,1969,0
325.79,17.82,16.06,293,-1712,1281,0
332.45,17.40,18.02,437,-1243,913,0
339.27,16.54,19.84,398,-461,912,0
345.95,15.23,21.48,175,470,1240,0
352.16,13.54,22.82,-41,1454,1570,0
357.61,11.57,23.67,-113,2296,1710,0
362.22,9.43,23.84,-103,2816,1730,0
369.13,5.07,22.91,98,2991,1220,0
371.63,2.92,22.19,217,2840,909,0
373.77,0.78,21.58,235,2776,739,0
375.51,-1.37,20.87,211,2785,791,0
376.94,-3.64,19.59,109,2766,1063,0
378.04,-5.98,17.68,-29,2782,1443,0
378.80,-8.38,15.54,-233,2598,1786,0
379.26,-10.62,13.72,-387,2376,1872,0
379.42,-12.49,12.47,-407,2306,1618,0
379.30,-13.99,11.30,-335,2163,1353,0
379.00,-15.29,9.82,-360,1839,1377,0
378.64,-16.28,8.08,-465,1399,1612,0
378.34,-16.90,6.47,-524,984,1790,0
378.10,-17.21,5.45,-506,740,1867,0
377.93,-17.26,5.11,-414,521,1903,0
377.85,-17.18,5.42,-334,295,1938,0
377.87,-17.05,6.21,-418,408,2024,0
377.88,-16.88,6.92,-582,697,2062,0
377.72,-16.49,7.19,-657,711,2132,0
377.44,-15.88,7.11,-700,430,2298,0
377.04,-15.03,7.05,-714,216,2421,0
376.50,-14.00,7.07,-631,97,2425,0
375.81,-12.91,7.16,-478,99,2401,0
375.05,-11.90,7.15,-341,48,2423,0
374.26,-11.03,7.16,-199,-68,2418,0
373.53,-10.35,7.32,-63,-156,2333,0
372.92,-9.77,7.44,153,-196,2072,0
372.45,-9.38,7.31,373,-217,1713,0
372.15,-9.30,6.71,499,-297,1395,0
372.03,-9.45,5.65,586,-451,1171,0
372.11,-9.76,4.35,606,-625,1043,0
372.38,-10.24,3.29,576,-710,963,0
372.85,-10.83,2.58,534,-646,894,0
373.43,-11.54,2.14,477,-562,847,0
374.16,-12.36,1.95,437,-498,817,0
374.95,-13.31,2.05,357,-445,809,0
375.79,-14.36,2.36,278,-284,789,0
376.66,-15.47,2.74,183,-146,859,0
377.51,-16.67,3.05,68,-39,1001,0
378.35,-17.85,3.35,-80,112,1157,0
379.14,-18.98,3.61,-223,186,1263,0
379.84,-19.97,3.92,-282,252,1355,0
380.41,-20.84,4.42,-336,313,1407,0
380.91,-21.59,4.98,-358,491,1441,0
381.26,-22.27,5.21,-351,543,1567,0
381.63,-22.90,5.10,-340,378,1722,0
381.99,-23.39,4.97,-261,237,1826,0
382.37,-23.80,4.89,-159,92,1816,0
382.78,-24.23,4.97,-50,2,1794,0
383.23,-24.68,5.23,16,-37,1778,0
383.75,-25.20,5.49,69,-65,1716,0
384.31,-25.79,5.72,126,-179,1594,0
384.95,-26.47,5.95,136,-249,1446,0
385.67,-27.14,6.25,103,-270,1426,0
386.39,-27.78,6.55,47,-178,1427,0
387.06,-28.39,6.82,-19,21,1505,0
387.56,-28.96,7.19,-93,289,1621,0
387.94,-29.46,7.45,-137,396,1747,0
388.18,-29.82,7.73,-254,526,1871,0
388.29,-30.07,8.05,-415,576,2149,0
388.65,-30.75,8.12,-943,711,2915,0
